Область,Направление водства,Наименование субсидирования,Статус заявки,Причитающая сумма,Процент роста продукции,Показатель падежа скота,Наличие автоматизации,История нарушений
3,7,18,0,-0.2014445030174794,-0.0206836278409664,2.2347051189856595,1,0
1,7,5,0,0.04518944006603069,-0.5639883590305904,0.5255355612575346,0,0
16,7,5,0,0.2818516603833611,0.9697441362255342,0.8228742185044757,0,0
13,3,6,1,0.12396604991884996,0.04616317465124207,-0.4815612342331795,0,0
10,0,19,0,-0.20204187568932536,-1.2790056490738924,-1.0423469971082653,1,0
1,7,18,0,-0.14560285552687335,-0.4474069299794075,-1.0423469971082653,1,0
7,7,11,0,-0.24399052015317926,1.0394353443069224,1.6062056421557165,1,0
6,7,38,0,-0.21008666274816845,0.640878658232269,0.24495742322981393,0,0
6,7,11,0,-0.22404707462081996,1.2568301465580507,-1.0423469971082653,0,0
12,7,28,0,-0.21519883261962988,-1.0820702988559152,-0.31930912563132924,0,0
15,7,38,5,-0.2170668686844942,-1.0520644347959827,1.1635278838602516,1,0
6,7,24,5,-0.24897638153626908,1.276105209822864,0.10026317656290012,0,0
6,7,38,5,-0.20410362908846066,0.5657864511628612,-0.5406388384058985,0,0
8,4,35,0,-0.05679136866368863,-0.7814588885637197,0.589509905136108,0,0
5,7,30,1,-0.22832693803206427,0.001897070756312046,-0.5394267448065779,0,0
5,7,30,1,-0.1733242448168528,0.4898436707777093,1.1811824000432922,0,0
11,7,13,3,-0.013138490300942829,-0.3135514909033123,-0.3489644270713961,0,0
13,7,18,3,-0.0059987368003581966,0.6378096427622156,-0.6410666096640228,0,0
10,0,19,5,-0.22716463402643836,0.607085743009138,-1.0423469971082653,0,1
11,7,31,0,0.6683463278592361,1.2513846274097435,-0.0016471535058281662,0,0
3,7,5,0,0.24462389538962376,0.34978365098214115,-1.0423469971082653,0,0
1,7,11,0,-0.2340187973869996,-0.7940905389293352,0.3602333436721458,1,0
8,7,31,0,0.24417915655425215,-1.7921281651306689,-0.7203739811195038,0,0
6,7,11,0,-0.20410362908846066,1.1632263230194024,0.6776099713943455,1,0
1,7,11,0,-0.2340187973869996,0.7908079522400262,-1.0423469971082653,1,0
2,4,32,1,0.42602149857375105,-0.2687155832329995,-1.0423469971082653,0,0
11,7,38,1,-0.24698203698303317,0.4256016998740009,-1.0423469971082653,1,0
10,2,22,0,-0.17859396790801987,0.4403633811945889,0.6160713397603137,0,0
11,7,14,1,-0.24043393903324187,-1.5829893445306946,-0.6264596619081116,1,0
6,7,24,0,-0.07408565984783287,0.5327145088402022,-1.0423469971082653,0,0
5,4,34,1,-0.09212118242426313,-0.8463244863741057,0.7040132005939466,0,0
8,7,18,0,-0.07247688857488922,1.4231847204532597,1.0400996808983667,0,0
5,4,34,1,-0.24597688732820225,-0.8739171462529555,-0.9729678418272178,0,0
0,7,31,5,0.5410393376479736,0.48816193109974587,-1.0423469971082653,0,0
11,7,11,3,-0.22404707462081996,1.9940291147416656,-1.0316495566434776,1,0
7,4,34,0,0.9402712190038487,1.613946351780497,0.35349700101242365,0,0
5,3,39,1,-0.22737098220954652,0.018734062341785342,0.9319841148339663,1,0
11,7,38,1,-0.20111211225860676,0.7495930331055005,-1.0423469971082653,1,0
8,7,38,0,-0.25296507064274093,-0.055519698964005694,-1.0423469971082653,1,0
10,2,22,0,-0.1953424734660952,0.20213837419422642,-1.0423469971082653,0,0
2,7,24,1,-0.15424501525756237,0.7676554609071001,-0.24792034201045027,1,0
2,4,33,1,-0.19454141173721212,-0.8681736742193302,-1.0423469971082653,0,0
6,7,24,0,-0.2511701605448286,1.4799250275836013,0.8293652773771507,0,0
2,7,18,1,-0.09507946017822977,0.5520509859321866,-0.9967368060422735,0,0
16,7,11,0,-0.22404707462081996,-1.0166975974284194,1.5743943775961307,0,1
1,7,17,0,-0.004669173764867576,-1.441456909568199,-1.0423469971082653,1,0
5,1,8,1,3.2268337839950854,-0.20107537820638108,2.84786004027723,0,0
8,7,31,0,0.1600128305463128,0.7698331704135029,0.4987937184411437,0,0
16,7,31,0,-0.030714316457852213,-0.6805828757028907,-1.0423469971082653,0,0
10,7,21,3,-0.24893769125193632,-0.7221100970330138,-0.45343549706343156,0,0
12,7,31,0,2.974638278734118,-0.1590749626619007,-0.09603189665294913,0,0
15,7,18,0,-0.2140753518546403,-0.36133531873185476,-0.6084775977638256,0,1
0,7,18,5,0.14889535683429908,-0.12136149350459127,-1.0423469971082653,0,0
9,7,11,0,-0.22404707462081996,-0.2908057723539481,-1.0423469971082653,0,0
15,4,34,0,-0.21845493249354642,0.11240399247649467,-1.0423469971082653,0,0
10,7,21,5,-0.24726284069612878,0.391528530972627,-0.5153513562086444,0,0
5,4,34,2,2.0433392027095354,0.4910060489030592,0.5072807664114575,1,0
2,3,6,1,0.1319434281317937,0.4693840174662434,-0.8296835576117868,0,0
12,7,30,0,-0.1589928848572994,-0.15135144356768993,-1.0423469971082653,0,0
5,3,39,1,-0.24199617559994333,0.07333687344868156,-1.0423469971082653,0,0
6,7,24,0,-0.24905615531839853,-0.6563457892653237,-1.020255867092474,0,0
6,7,18,0,-0.21872882247885747,0.4825654621019245,0.00598624861183094,0,0
8,7,28,0,0.013023321548406111,-0.4722631878997856,-1.0423469971082653,0,0
8,7,24,0,-0.16421673802374204,0.05668458934134722,0.389432869654009,1,0
5,7,18,2,-0.19147278025129977,0.8701601336505987,-1.0423469971082653,0,0
0,4,33,1,5.366472985749431,-0.0324754709591903,2.0237287108132347,0,0
0,7,30,5,-0.2274268238570371,-0.5029393347942278,2.2625951324304303,0,0
1,7,5,3,0.45403007347939645,-1.7921281651306689,0.8969358083871185,1,0
0,7,31,2,-0.20862281384609327,-0.6991718210405607,-1.0423469971082653,1,0
